Id,Label
2252,Sam Lachow
1151,LCD Soundsystem
865,Julian Casablancas
844,All Time Low
1418,Keane
405,Cher
1612,Jodi Benson
855,Olivia Newton-John
1497,Can't Stop Won't Stop
559,Ashanti
802,Fatboy Slim
1462,Natalie MacMaster
2249,John Michael Montgomery
2384,Tommy James & The Shondells
2632,The Presets
2878,Adam Lambert
124,Kid Cudi
2080,Glen Hansard
2200,Chris Wallace
842,Mr Tibbz
2765,Kigity K
28,Carly Rae Jepsen
935,James Taylor
996,Marc Anthony
2151,Cayucas
2796,Dionne Warwick
1340,ScHoolboy Q
556,Natalie Imbruglia
435,Kreayshawn
1804,Black Label Society
2461,Limbeck
823,Kansas
2650,Pop Music Players
364,Backstreet Boys
2360,Take That
1884,St. Lucia
1515,Ivan Gough
1372,Smokie
1114,Chairlift
2430,AVID All Stars
25,Machine Gun Kelly
1245,Fats Domino
486,House Of Pain
1425,Chaka Demus & Pliers
1518,Powerman 5000
1465,Glamour Girls
1442,Corinne Bailey Rae
1005,City High
523,V.I.C.
1767,Kate Voegele
1182,Sinéad O'Connor
767,CAZZETTE
1564,Ghostland Observatory
1983,Cold Flamez
2038,Color Me Badd
1324,A Rocket To The Moon
1491,Corey Smith
1243,Top 40
860,Pat Benatar
1428,Kid Astray
2696,Sébastien Tellier
1358,EMF
2401,Damn Yankees
2379,Diane Warren
850,Rick James
1037,Various Artists
1143,Michael Henry & Justin Robinett
1092,Toby Turner & Tobuscus
2762,YC Worldwide
2979,Rittz
784,Portugal. The Man
693,Boney M.
1427,Tiësto
1762,Aaron Neville
275,Neil Diamond
1070,Pixies
1298,Vertical Horizon
2664,Parliament
2271,Alice Deejay
2970,V.I.C
150,Aerosmith
1186,Eddie Vedder
2349,Chesney Hawkes
1539,Autograph
1012,Stealing Sheep
804,Rick Astley
102,B.o.B
1631,Zero 7
549,The Fray
292,System Of A Down
2374,The Underdog Project
2501,The Naked Brothers Band
2540,Orgy
1902,Sam And The Womp
171,T.I.
2821,Ashes Remain
2977,71 North
359,Christina Aguilera
2183,Kim Cesarion
603,Ne-Yo
1469,Box Car Racer
862,Simple Minds
2064,Spandau Ballet
965,Sage The Gemini
1024,LoveRance
144,Wiz Khalifa
2705,Mikal Cronin
256,John Mayer
2792,Chris Montez
2442,Panjabi MC
90,Ace Hood
1570,Fiona Joy (Hawkins)
1662,Jackie Chain
2019,Robert Miles
117,Billy Joel
2335,Erick Sermon
685,The Supremes
2739,The Kinx
463,Bruce Springsteen
1617,Sonny & Cher
1162,Robert Palmer
2603,Paul Stanley
1203,Stone Sour
272,"Earth, Wind & Fire"
2709,Pepper
255,Fleet Foxes
2811,The Tropical Music Makers
1393,Drew Holcomb & The Neighbors
2155,Masta Killa
1071,Anna Nalick
2206,Melanie
2509,Saigon Kick
2764,Jaheim
2124,The Monkees
2951,C.C. Productions
1127,Blackmill
913,Beth
2217,Mindy Gledhill
2651,The G.Brooks Collection
2544,Yeti Girls
2790,Los Lobos
2134,Aer
1588,Maître Gims
2881,DRIVEPILOT
1849,Barry Manilow
786,Cold War Kids
1089,The Mamas & The Papas
2504,Crash Test Dummies
938,Sly & The Family Stone
96,Frank Ocean
518,Simon & Garfunkel
1221,Citizen Cope
2073,The Archies
1868,Regina Spektor
2046,Candlebox
2753,Tesla
297,will.i.am
2440,Big K.R.I.T.
505,Eurythmics
295,Jackyl
222,Goldfinger
288,Van Halen
1692,Tennis
2610,Pete Francis
684,Frank Sinatra
824,Band of Horses
2310,Snap
2687,G-Unit
2277,Richard Vission & Static Revenger
1019,Biz Markie
1615,Lipps Inc.
2654,Master P
2848,Wayne Wonder
1504,Huey
8,Dr. Dre
1683,Maxi Priest
1305,Tokyo Police Club
1166,The Knack
1351,Savatage
2662,Dash Berlin
2392,Hip Hop Beats
2985,Murray Head
1008,Cherish
1988,Montgomery Gentry
1344,Frank Turner
669,The Kingsmen
1876,J. Ralph
1383,Arianna
1910,SHONE
2589,Peter Frampton
2474,Dream
1592,Cat Power
